        Spiketime[s]     corrSpiketime[s]                  ISI             instFreq
           22.464710            22.464710             0.023550            42.462845
           23.013650            23.013650             0.009380           106.609808
           23.024910            23.024910             0.011260            88.809947
           23.028900            23.028900             0.003990           250.626566
           23.043360            23.043360             0.014460            69.156293
           23.050660            23.050660             0.007300           136.986301
           23.065400            23.065400             0.014740            67.842605
           23.072060            23.072060             0.006660           150.150150
           23.085520            23.085520             0.013460            74.294205
           23.105540            23.105540             0.020020            49.950050
           23.672040            23.672040             0.005760           173.611111
           23.685520            23.685520             0.013480            74.183976
           23.689740            23.689740             0.004220           236.966825
           23.704400            23.704400             0.014660            68.212824
           23.711790            23.711790             0.007390           135.317997
           23.726350            23.726350             0.014560            68.681319
           23.732770            23.732770             0.006420           155.763240
           23.748490            23.748490             0.015720            63.613232
           23.762940            23.762940             0.014450            69.204152
           24.309320            24.309320             0.005680           176.056338
           24.323820            24.323820             0.014500            68.965517
           24.325300            24.325300             0.001480           675.675676
           24.341620            24.341620             0.016320            61.274510
           24.344980            24.344980             0.003360           297.619048
           24.362510            24.362510             0.017530            57.045066
           24.366230            24.366230             0.003720           268.817204
           24.381350            24.381350             0.015120            66.137566
           24.396160            24.396160             0.014810            67.521945
           24.939730            24.939730             0.004180           239.234450
           24.953950            24.953950             0.014220            70.323488
           24.956910            24.956910             0.002960           337.837838
           24.972330            24.972330             0.015420            64.850843
           24.978040            24.978040             0.005710           175.131349
           24.995180            24.995180             0.017140            58.343057
           25.000840            25.000840             0.005660           176.678445
           25.017510            25.017510             0.016670            59.988002
           25.036520            25.036520             0.019010            52.603893
           25.588480            25.588480             0.011280            88.652482
           25.598390            25.598390             0.009910           100.908174
           25.605040            25.605040             0.006650           150.375940
           25.616170            25.616170             0.011130            89.847260
           25.629960            25.629960             0.013790            72.516316
           25.637710            25.637710             0.007750           129.032258
           25.649850            25.649850             0.012140            82.372323
           25.657190            25.657190             0.007340           136.239782
           25.687520            25.687520             0.030330            32.970656
